symbol,feature,target,n,ic_train,ci_lo,ci_hi,ic_valid,significant,stable
SPY,earn_beat_rate_90d,fwd21_rv,1113,-0.186,-0.418,0.035,-0.041,False,False
SPY,earn_surprise_med_90d,fwd21_ret,1113,0.089,-0.057,0.259,0.249,False,False
SPY,earn_surprise_med_90d,fwd21_tail,1113,-0.131,-0.28,-0.002,-0.159,True,True
SPY,earn_surprise_med_90d,fwd21_rv,1113,-0.043,-0.364,0.227,-0.409,False,False
SPY,earn_upcoming_21d,fwd21_ret,1113,0.017,-0.149,0.169,0.12,False,False
SPY,earn_upcoming_21d,fwd21_tail,1113,-0.06,-0.157,0.029,0.038,False,False
SPY,earn_upcoming_21d,fwd21_rv,1113,0.049,-0.102,0.213,-0.093,False,False
SPY,cpi_yoy,fwd21_ret,1113,-0.28,-0.428,-0.119,0.167,True,False
SPY,cpi_yoy,fwd21_tail,1113,0.273,0.159,0.38,0.09,True,True
SPY,cpi_yoy,fwd21_rv,1113,0.355,0.14,0.539,-0.067,True,False
SPY,unrate,fwd21_ret,1113,0.136,-0.026,0.297,0.037,False,False
SPY,unrate,fwd21_tail,1113,-0.207,-0.343,-0.062,-0.094,True,True
SPY,unrate,fwd21_rv,1113,-0.258,-0.488,0.023,-0.02,False,False
SPY,unrate_chg3m,fwd21_ret,1113,0.079,-0.115,0.249,0.068,False,False
SPY,unrate_chg3m,fwd21_tail,1113,0.052,-0.09,0.209,-0.072,False,False
SPY,unrate_chg3m,fwd21_rv,1113,0.048,-0.163,0.291,-0.221,False,False
SPY,sentiment,fwd21_ret,1113,0.002,-0.207,0.221,-0.129,False,False
SPY,sentiment,fwd21_tail,1113,-0.057,-0.264,0.168,-0.046,False,False
SPY,sentiment,fwd21_rv,1113,-0.21,-0.508,0.096,-0.033,False,False
SPY,sentiment_chg6m,fwd21_ret,1113,0.078,-0.09,0.227,-0.063,False,False
SPY,sentiment_chg6m,fwd21_tail,1113,-0.133,-0.27,0.021,0.152,False,False
SPY,sentiment_chg6m,fwd21_rv,1113,-0.278,-0.454,-0.04,0.038,True,False
SPY,indpro_yoy,fwd21_ret,1113,-0.271,-0.418,-0.086,0.107,True,False
SPY,indpro_yoy,fwd21_tail,1113,0.148,-0.02,0.315,0.051,False,False
SPY,indpro_yoy,fwd21_rv,1113,0.021,-0.235,0.262,-0.052,False,False
SPY,absorption_chg_20d,fwd21_ret,1113,0.16,0.01,0.321,0.212,True,True
SPY,absorption_chg_20d,fwd21_tail,1113,0.006,-0.136,0.137,-0.003,False,False
SPY,absorption_chg_20d,fwd21_rv,1113,0.103,-0.093,0.253,0.028,False,False
SPY,absorption_ratio,fwd21_ret,1113,0.338,0.192,0.49,0.15,True,True
SPY,absorption_ratio,fwd21_tail,1113,-0.13,-0.256,0.016,0.033,False,False
SPY,absorption_ratio,fwd21_rv,1113,0.071,-0.185,0.317,-0.083,False,False
SPY,dist_from_ath,fwd21_ret,1113,-0.223,-0.418,-0.035,-0.134,True,True
SPY,dist_from_ath,fwd21_tail,1113,-0.053,-0.184,0.103,-0.008,False,False
